chemin,class,classe_LOC,classes_CLOC,classe_DC,WMC,classe_BC
clone_repo/TP1_IFT3913_project/src/test/code_pour_tester/Differential.java,Differential,351,82,0.23,3.54,0.07
clone_repo/TP1_IFT3913_project/src/test/code_pour_tester/SPNServer.java,SPNServer,115,22,0.19,2.50,0.08
clone_repo/TP1_IFT3913_project/src/test/code_pour_tester/LengthConstraintType.java,LengthConstraintType,58,52,0.90,N/A,N/A
clone_repo/TP1_IFT3913_project/src/test/code_pour_tester/test.java,Differential,34,9,0.26,3.00,0.09
clone_repo/TP1_IFT3913_project/src/test/code_pour_tester/test2.java,Differential,40,15,0.38,3.00,0.13
clone_repo/TP1_IFT3913_project/src/test/java/MethodMetricsTest.java,MethodMetricsTest,36,1,0.03,1.00,0.03
clone_repo/TP1_IFT3913_project/src/test/java/ManagersTest.java,ManagersTest,24,4,0.17,1.00,0.17
clone_repo/TP1_IFT3913_project/src/test/java/ClassMetricsTest.java,ClassMetricsTest,38,0,0.00,1.00,N/A
clone_repo/TP1_IFT3913_project/src/test/java/DirectoryVisitorTest.java,DirectoryVisitorTest,13,2,0.15,1.00,0.15
clone_repo/TP1_IFT3913_project/src/test/java/UtilsTest.java,UtilsTest,20,2,0.10,5.00,0.02
clone_repo/TP1_IFT3913_project/src/test/java/ParserTest.java,ParserTest,23,1,0.04,1.00,0.04
clone_repo/TP1_IFT3913_project/src/test/java/CSVWriterTest.java,CSVWriterTest,37,0,0.00,2.00,N/A
clone_repo/TP1_IFT3913_project/src/main/java/Utils.java,Utils,84,30,0.36,5.00,0.07
clone_repo/TP1_IFT3913_project/src/main/java/CsvWriter.java,CsvWriter,25,11,0.44,2.00,0.22
clone_repo/TP1_IFT3913_project/src/main/java/Parser.java,Parser,116,37,0.32,1.14,0.28
clone_repo/TP1_IFT3913_project/src/main/java/DirectoryVisitor.java,DirectoryVisitor,27,9,0.33,4.00,0.08
clone_repo/TP1_IFT3913_project/src/main/java/MethodMetrics.java,MethodMetrics,84,38,0.45,1.17,0.39
clone_repo/TP1_IFT3913_project/src/main/java/ClassesManager.java,ClassesManager,55,25,0.45,3.00,0.15
clone_repo/TP1_IFT3913_project/src/main/java/ClassMetrics.java,ClassMetrics,87,40,0.46,1.50,0.31
clone_repo/TP1_IFT3913_project/src/main/java/MethodsManager.java,MethodsManager,55,19,0.35,4.00,0.09
clone_repo/TP1_IFT3913_project/src/main/java/Main.java,Main,56,7,0.13,6.00,0.02
