id_version,n_classes,m_c_BC
e4c1bb83f3ffd6d66fbe29b4fc004ce3ae4226f7,28,0.09
f310fd0469514802c069612879ef657941094c8a,28,0.09
3f30c4492be0eb2ab51d9adae1f3b9a9304a9f54,28,0.09
9fb876fdb9ad82db481ab3f35b118ffee5e83e18,28,0.09
b3df904e639a44856ed3cadb864f5c24771061bb,32,0.09
0650b4a6cfffb174032feb0777aebf7b3167372f,32,0.09
4a21f69d163aa515ce8979dd9c197352d4ca62dc,32,0.09
0d94274048f12af814b45eb83a02ea0ab4f643b3,32,0.09
dcf7eb41b95f710e8bac4c4190aa7721087697e7,32,0.09
856313eaed34412600301a2ef72b7052918cc5c7,31,0.09
55a0178a6f5a456727583d866416c5c75a621055,32,0.09
11c14fc5a6930e426a9145503610176a0e0c7e79,31,0.09
4dc69848293ed6c0fcc864d0a1f06659360db73d,31,0.09
6e57b42e212db55bb7bba944d28b8c1e1b265a39,30,0.04
1d61d5759689564599dc9aa8925d756cb9fd0ba7,30,0.04
a0caf199d5a5cb3becb74cc639f7379b3a125177,30,0.04
6a690ca32dd36eda83f8350ded22b32387fc2c35,29,0.065
009bed9e96f91c4e4abd842664f91331c26ebbf7,29,0.065
53770dcac9cab2268266d521a9edade66a591ffd,29,0.065
fa18528c72242d9411fb2a4f39ad004483bc56d2,29,0.065
2bf3b4dc2234903dee5f7d69044336bc81ba9f64,28,nan
5ce24a045ab771bf54d2ddb2a8dc1e9d92fc3d94,28,0.15
7a6683fca8f144e6e2cb89b9e1bc869e6d7468ad,31,0.215
5b471872fdd794b5d43942ee667505ce5b9298d2,27,0.18
df331617b249c61198bd7bcd1a14528c21fbfe90,30,0.21
ab820944eb7cc156ddd21de1dbce7cc166be95a5,30,0.21
59198fe3e78951101022f83587c4b706114811cf,30,0.21
6b6797274662d22b6adbe9a71d4d78063c89d774,30,0.21
8a1e70fe5b42adeb16b9c5ecb7c8961c09afcedf,30,0.21
e60a32a3359ae7280fc33e9a1a2dfb466c5769d4,30,0.21
4cd7a0bac7c4a8d5a3d055d96154d4027d76809d,29,0.24
eac5aa38bb82f30a12c357e8c66c65552f5bd62e,27,0.185
5fd2fabe71aa292faa8ec8a10b46b9ab89b2282f,25,0.075
e416ab298fc3f8937b7ec3930d5d01062e71d2fb,25,0.075
6d150d754b9c4320465ef0ec9ad31f214e80f24e,25,0.09
e611a2bc0ee4bf4273471fdaf89816b72abf3744,25,0.09
30ce1f794766cc2ce3f5c3a95722c0d07cdadbb7,25,0.09
24d355d0afadca2b3a55c6d085bf1d9e8f04ebb5,21,0.125
e8608a9221ead60e06705eba8e46cc4e3fbd5b74,25,0.09
ebb35beeed9f06b6d197a5d09d4fa508d14721ab,25,0.08499999999999999
128e6806c8fec92b98b159a4420089b7ac2aad96,21,0.125
a2824cb8dd379124d29d5364f72467b39248d897,21,0.12
5a06bf0170e0befc9ad548227f51633d57b216ec,21,0.095
142e98bdef65c16c12c884e0ab4006f4df95f9e9,21,0.095
1e9d8bf5c85ff1288dd787113eda09cfdd9d5ee1,21,0.08499999999999999
2b7da9459f0a5849397d88e49009bebc92fea1ce,21,0.08499999999999999
9db21ae6e34fe180a1d69b54424b2b3dc9916b08,20,0.09
ce9821a213df60ce14f431bf03d77e4a4796bb2a,21,0.08499999999999999
b21071cef249eeb1252fc060326dfe7ad3bfb313,20,0.09
f99f18189d5c4345bede6f91514318b44b9f0f64,20,0.09
e2ddfd5655ff9bb626dbfc995f8eedffa2951732,20,0.09
93b127e4688b8fc775c54d388dcbd69605e8a038,20,0.09
58fd3b62fe0181689cb2f457fd9a0b26d8791d05,20,0.09
8738f46ad384fcdf2c9b19008deede4ea3c99bc2,20,0.09
31bacf0324fc4975895c652a1d2b550a039ed6c2,20,0.09
3a693e387fb92579f20e34a67a9f74bca5683fde,12,0.20500000000000002
2e7bdbd8c68eaaf29a228d6661eaca88ae506646,20,0.09
b1fc988d3ac8aece716af945bfa565b99ce049a7,20,0.09
8c90da2a3424af7776e5b9e2ad3242e4436d88c6,20,0.14
35e4404d89e0a46da634c790469e9e1fd75701b9,12,0.20500000000000002
a8df66b0fdce3fb0cdeb404352c6d805a4615402,12,0.20500000000000002
a3ea9186c0eeed36e42dc1a06da62983fadf300f,12,0.24
19987a44f8fee9d992836710d7f19ba4f5121735,12,0.24
a4104716c1fb3e6c08835dbe7af6b7081f7bede3,12,0.24
2ae89d1adaf32eb61cc567602f3a6756afcbdbd7,12,0.24
58034ee136b6f614c2a1e371ca322d3867a5a71b,12,0.24
2d7b27670ba1955bfe37b27ecc0fe1f4da1907cb,11,0.21
c9c7793dd54ad9522297dfb90695c5fc77b800d4,11,0.08
412f4782f1496788593c108e6b97037311263e6c,11,0.09
faae824da59c4efc6a02f941bbab3d9fc3646d69,10,0.22999999999999998
2869a719d4a7e985a87a4af380595264efc8e85a,10,0.08499999999999999
e76836cc46035d6426e0058149acb8e6915f36d3,9,0.09
66f86d978a0a8171c0ac15a1d712d57479569097,9,0.21
9bdb5cef9a8cf6c259770ee90e05411739952546,9,0.09
24dff9430915d54d90319a78e859f29cf62ef638,9,0.09
c44e0e3aa2ab166a598e5c4c6084bf8429827a89,9,0.21
6a72f4e6ff64f1c92f17cc7aa3ec91a077329d15,9,0.22
1e198e30c133ebf3b0115f38d46b55dad997ac19,9,0.22
0a64173f5aab8fcc2eed7420439614165a035494,9,0.22
99e4ae287b0d7893ba45604347e011ad1993988e,9,0.18
6a11a330d28552fa01544cd4a2132717fec78c20,9,0.09
aa073d9657fc22bc83ceac67455a34a3de2d10a5,8,0.095
7c15e78a6aba5c224d6bf35d756e32f62d7e9de4,9,nan
99d2d22de02cf71f34e353871d654ce8b402c7bb,8,0.08499999999999999
700c0deea7993416175eddaf93f9e36178a13ac9,8,0.07500000000000001
fc5ab9d43414ee3ec1585e04a63811c15e156c05,8,nan
6bdf5074de60e64bdbc7dbe6ad0709f915e7924e,5,0.08
18653a7e1696f273a0d65762d07cf3ae22e3c0fa,4,nan
16cf9ffd233519435edfa320791f1e203ca9fd7c,3,0.08
0661033cb017b45e5fa5549d677ca19806a917ff,3,0.08
b42df136a4ca304dd8aa6bcb0ca1efd169ce6bbf,1,nan
8f174c0d8fc0277e482de4230ecbf507c1f0a840,0,nan
102162b34f3873d7e504e078ace3194ecee9429e,0,nan
2ae03fe5a950fe7d6384289c4bfadc6a17601c55,0,nan
